CommentID,PostID,UserID,ParentCommentID,Content,CreatedAt,UpdatedAt
429,42,74634cae-680b-4d85-bab8-9a9062fc4ee0,173,"Bạn @giang.ho49 có thể chia sẻ thêm về chi phí được không?,2025-09-14 03:20:26,2025-09-24 09:44:12
584,12,a47cdb13-8db0-4494-bf08-a08f41f97b02,245,"Mình cũng từng đến đó, cảnh đẹp thực sự nhưng dịch vụ chưa tốt lắm.",2023-05-20 09:33:57,2025-02-02 03:42:50
1480,45,a8255759-7882-4aef-8a4d-72c2db336798,1144,"Cảm ơn gợi ý của @tuan.vo26, mình sẽ cân nhắc địa điểm này.",2025-08-04 20:56:38,
540,2,72d7d5d0-90ce-45d6-aff6-594b45892680,449,"Mình vừa cập nhật xong, có vẻ mượt hơn nhưng hơi nóng máy.",2025-10-12 14:16:10,
1159,7,903d2e0b-4282-4864-bf5a-f93fbcb0548d,39,"Cảm ơn chia sẻ của @giang.vu12, rất hữu ích cho người mới như mình.",2025-09-23 02:33:38,2025-10-09 22:58:46
1041,9,3a9f9977-8f1f-4051-8b13-6a3ce848d0fa,733,"Tôi đồng ý với @huy.dang91, giai đoạn này nên cẩn trọng.",2025-08-03 11:52:05,2025-09-27 20:09:10
588,12,a47cdb13-8db0-4494-bf08-a08f41f97b02,,Mọi người nghĩ sao về thị trường chứng khoán tuần tới?,2023-12-18 07:31:21,2024-10-18 00:41:14
1016,9,f7917acf-8898-48f9-9230-807efbf161dd,243,"Mình không nghĩ vậy, @quan.ly98. Phong độ của họ khá thất thường.",2023-11-14 05:42:01,2024-12-09 09:38:46
1271,48,67110453-c058-44ab-9f08-5c921b596755,,Cầu thủ yêu thích của mọi người là ai?,2021-06-26 16:13:22,2022-02-18 12:30:35
1342,44,74c820c9-1b60-47da-ae3d-c78c21166412,335,"@viet.huynh65 nói có lý, đa dạng hóa danh mục là chiến lược an toàn nhất.",2025-09-07 06:13:03,2025-09-25 02:44:11
1731,33,a1b3e507-127b-4966-931e-49e72a9fd248,781,"@quan.tran70 nói có lý, đa dạng hóa danh mục là chiến lược an toàn nhất.",2024-10-22 20:11:42,
1413,39,ae60094a-ce56-42f6-8a10-a68c0b3858bc,,Ai có kinh nghiệm du lịch một mình không?,2022-05-16 03:08:38,2025-03-31 21:12:15
1954,29,32946ab7-b119-433b-82b1-d0b14ea7b46e,1121,"@trung.duong7, siêu phẩm của cầu thủ đó đúng là không thể tin được!",2025-10-06 10:23:23,2025-10-12 10:16:29
